,동,1인가구,etc,합계,비율,,,,,,,,,,,,,
0,가락1동,1255,8279,9534,13.16341515,,,,,,,,,,,,,
1,가락2동,2272,9210,11482,19.78749347,,,,,,,,,,,,,
2,가락본동,3173,7403,10576,30.00189107,,,,,,,,,,,,,
3,가리봉동,2849,2052,4901,58.13099367,,,,,,,,,,,,,
4,가산동,9775,4349,14124,69.20843954,,,,,,,,,,,,,
5,가양1동,11023,7515,18538,59.46164635,,,,,,,,,,,,,
6,가양2동,3623,3906,7529,48.12060035,,,,,,,,,,,,,
7,가양3동,2925,4532,7457,39.22488937,,,,,,,,,,,,,
8,가회동,631,1102,1733,36.41084824,,,,,,,,,,,,,
9,갈현1동,3373,6571,9944,33.91995173,,,,,,,,,,,,,
10,갈현2동,3136,8337,11473,27.33374009,,,,,,,,,,,,,
11,강일동,2081,9196,11277,18.4534894,,,,,,,,,,,,,
12,개봉1동,3591,9810,13401,26.79650772,,,,,,,,,,,,,
13,개봉2동,2373,9345,11718,20.25089606,,,,,,,,,,,,,
14,개봉3동,1860,6213,8073,23.03976217,,,,,,,,,,,,,
15,개포1동,550,1774,2324,23.66609294,,,,,,,,,,,,,
16,개포2동,1058,6369,7427,14.24532113,,,,,,,,,,,,,
17,개포4동,2280,5518,7798,29.23826622,,,,,,,,,,,,,
18,거여1동,1396,3626,5022,27.79769016,,,,,,,,,,,,,
19,거여2동,1883,4928,6811,27.64645427,,,,,,,,,,,,,
20,고덕1동,1143,7209,8352,13.68534483,,,,,,,,,,,,,
21,고덕2동,1730,6374,8104,21.34748272,,,,,,,,,,,,,
22,고척1동,2216,6586,8802,25.17609634,,,,,,,,,,,,,
23,고척2동,2916,7760,10676,27.3136006,,,,,,,,,,,,,
24,공덕동,6338,10188,16526,38.35168825,,,,,,,,,,,,,
25,공릉1동,7356,9898,17254,42.63359221,,,,,,,,,,,,,
26,공릉2동,4783,10725,15508,30.84214599,,,,,,,,,,,,,
27,공항동,4329,7106,11435,37.85745518,,,,,,,,,,,,,
28,광장동,1501,9649,11150,13.46188341,,,,,,,,,,,,,
29,광희동,1391,1165,2556,54.42097027,,,,,,,,,,,,,
30,교남동,1219,2884,4103,29.70996832,,,,,,,,,,,,,
31,구로1동,1822,6091,7913,23.02540124,,,,,,,,,,,,,
32,구로2동,4383,6806,11189,39.17240147,,,,,,,,,,,,,
33,구로3동,6197,5844,12041,51.4658251,,,,,,,,,,,,,
34,구로4동,3764,5662,9426,39.93210269,,,,,,,,,,,,,
35,구로5동,5350,7884,13234,40.426175,,,,,,,,,,,,,
36,구산동,2785,9063,11848,23.50607698,,,,,,,,,,,,,
37,구의1동,5591,5411,11002,50.81803308,,,,,,,,,,,,,
38,구의2동,3049,7406,10455,29.16307987,,,,,,,,,,,,,
39,구의3동,3110,8001,11111,27.9902799,,,,,,,,,,,,,
40,군자동,5546,4689,10235,54.18661456,,,,,,,,,,,,,
41,금호1가동,1538,4507,6045,25.44251447,,,,,,,,,,,,,
