,출생,사망,전입,전출,혼인,이혼,cluster,cluster_s,위도,경도,동
0,17,29,829,937,12,13,0,1,37.481054,127.0537081,개포1동
1,152,57,9853,4191,61,28,1,0,37.4897742,127.0691197,개포2동
2,91,57,4408,3308,91,41,2,0,37.4789985,127.0516566,개포4동
3,93,81,5141,5967,112,45,1,0,37.5115546,127.0284464,논현1동
4,102,76,4171,4824,87,40,2,0,37.5173754,127.0371963,논현2동
5,33,41,2965,3610,27,16,2,1,37.4932911,127.0568027,대치1동
6,80,91,6859,7825,51,38,1,0,37.5023067,127.0642127,대치2동
7,63,50,4592,5101,53,31,2,0,37.5000976,127.0579215,대치4동
8,112,80,2929,3583,68,15,2,1,37.4894218,127.0383343,도곡1동
9,148,91,3883,4652,63,35,2,0,37.486423,127.045433,도곡2동
10,73,45,1956,2392,43,26,0,1,37.51434254999999,127.0625466314373,삼성1동
11,164,99,5861,5404,100,53,1,2,37.5111921,127.0459885,삼성2동
12,251,186,5417,6506,160,68,1,2,37.46913105,127.1069304712163,세곡동
13,93,147,1802,2137,88,28,0,0,37.4824493,127.0780991,수서동
14,57,84,2158,2711,57,17,0,1,37.5239801,127.0228273479811,신사동
15,57,84,2158,2711,57,17,0,1,37.4854189,126.9181169,신사동
16,75,112,4645,4753,84,37,2,0,37.5239801,127.0228273479811,신사동
17,75,112,4645,4753,84,37,2,0,37.4854189,126.9181169,신사동
18,141,108,3332,4130,59,36,2,0,37.5316035,127.0299449,압구정동
19,123,101,10578,10648,204,88,1,2,37.495394,127.033108,역삼1동
20,147,94,6092,6470,81,34,1,2,37.4960586,127.046966,역삼2동
21,56,98,1967,2498,65,22,0,1,37.4920557,127.087615,일원1동
22,114,91,3111,3248,80,22,2,0,37.48774935,127.07083865,일원2동
23,104,66,2524,3191,53,20,0,1,37.48336815,127.0864944,일원본동
24,142,95,3654,4773,65,21,2,0,37.5263605,127.0537937,청담동
25,112,158,8494,3277,84,59,1,2,37.5649416,127.1739152,강일동
26,147,73,3187,4865,73,30,2,0,37.5563074,127.1488895,고덕1동
27,170,65,3677,4061,71,29,2,0,37.5605039,127.1643845,고덕2동
28,209,210,6781,7559,216,72,1,2,37.5392251,127.1462154,길동
