,주민센터,주소,위도,경도
0,청운효자동 주민센터,서울특별시 종로구 자하문로 92,37.5840835,126.9706357
1,사직동 주민센터,서울특별시 종로구 사직로9길 1,37.576191449999996,126.96882915
2,종로1-4가동 주민센터,서울특별시 종로구 종로17길 8,37.5707276,126.9889123
3,삼청동 주민센터,서울특별시 종로구 삼청로 107,37.5849793,126.98178162729107
4,가회동 주민센터,서울특별시 종로구 북촌로 35,37.58002545,126.98480464831948
5,종로5-6가동 주민센터,서울특별시 종로구 종로35가길 19,37.5720378,127.0050662
6,이화동 주민센터,서울특별시 종로구 이화장길 33,37.57697485,127.00431642115672
7,혜화동 주민센터,서울특별시 종로구 혜화로 12,37.586829,127.0006022
8,창신1동 주민센터,서울특별시 종로구 지봉로 8-6,37.5795738,127.0152701
9,창신2동 주민센터,서울특별시 종로구 창신길 62,37.5727054,127.0107733
10,창신3동 주민센터,서울특별시 종로구 지봉로 87,37.5795738,127.0152701
11,숭인1동 주민센터,서울특별시 종로구 지봉로 86,37.5795738,127.0152701
12,숭인2동 주민센터,서울특별시 종로구 종로65길 10,37.5753495,127.0198525
13,교남동 주민센터,서울특별시 종로구 송월길 154,37.5718765,126.96194049986487
14,평창동 주민센터,서울특별시 종로구 평창문화로 65,37.6063535,126.96830056258561
15,부암동 주민센터,서울특별시 종로구 창의문로 145,37.5928744,126.9643098
16,무악동 주민센터,서울특별시 종로구 통일로14길 36,37.5749571,126.9580276
17,소공동 주민센터,서울특별시 중구 남대문로1길 31-5,37.5629075,126.977303
18,회현동 주민센터,서울특별시 중구 퇴계로8길 46,37.557318,126.97929
19,명동 주민센터,서울특별시 중구 퇴계로20길 3,37.5600403,126.98584414969244
20,필동 주민센터,서울특별시 중구 퇴계로36길 42,37.5604895,126.9947912
21,장충동 주민센터,서울특별시 중구 장충단로8길 22,37.561904,127.007731
22,광희동 주민센터,서울특별시 중구 퇴계로 303-9,37.561279,126.9899418
23,을지로동 주민센터,서울특별시 중구 충무로9길 19,37.566884,126.9919783
24,다산동 주민센터,서울특별시 중구 동호로15길 50,37.5543101,127.0083037
