행정구역,남_총인구수,여_총인구수
서울특별시 강동구 강일동(1174051500),"15,732","17,042"
서울특별시 강동구 상일제1동(1174052500),"19,114","19,691"
서울특별시 강동구 상일제2동(1174052600),"5,025","5,684"
서울특별시 강동구 명일제1동(1174053000),"12,536","13,221"
서울특별시 강동구 명일제2동(1174054000),"8,535","8,918"
서울특별시 강동구 고덕제1동(1174055000),"12,135","11,737"
서울특별시 강동구 고덕제2동(1174056000),"11,305","11,123"
서울특별시 강동구 암사제1동(1174057000),"17,014","17,301"
서울특별시 강동구 암사제2동(1174058000),"7,321","7,816"
서울특별시 강동구 암사제3동(1174059000),"8,677","9,038"
서울특별시 강동구 천호제1동(1174060000),"13,076","13,583"
서울특별시 강동구 천호제2동(1174061000),"16,141","16,820"
서울특별시 강동구 천호제3동(1174062000),"12,820","13,557"
서울특별시 강동구 성내제1동(1174064000),"9,586","10,339"
서울특별시 강동구 성내제2동(1174065000),"11,477","11,833"
서울특별시 강동구 성내제3동(1174066000),"11,222","11,731"
서울특별시 강동구 길동(1174068500),"22,211","23,233"
서울특별시 강동구 둔촌제1동(1174069000),74,58
서울특별시 강동구 둔촌제2동(1174070000),"12,056","12,446"
서울특별시 송파구 풍납1동(1171051000),"6,240","6,458"
서울특별시 송파구 풍납2동(1171052000),"11,656","12,933"
서울특별시 송파구 거여1동(1171053100),"6,225","6,125"
서울특별시 송파구 거여2동(1171053200),"11,345","11,767"
서울특별시 송파구 마천1동(1171054000),"9,585","9,178"
서울특별시 송파구 마천2동(1171055000),"9,404","9,009"
서울특별시 송파구 방이1동(1171056100),"7,503","8,048"
서울특별시 송파구 방이2동(1171056200),"12,214","14,181"
서울특별시 송파구 오륜동(1171056600),"8,747","9,170"
서울특별시 송파구 오금동(1171057000),"18,509","19,625"
서울특별시 송파구 송파1동(1171058000),"11,128","12,638"
서울특별시 송파구 송파2동(1171059000),"9,186","9,915"
서울특별시 송파구 석촌동(1171060000),"14,917","16,461"
서울특별시 송파구 삼전동(1171061000),"14,080","15,954"
서울특별시 송파구 가락본동(1171062000),"12,928","13,114"
서울특별시 송파구 가락1동(1171063100),"13,275","14,131"
서울특별시 송파구 가락2동(1171063200),"15,519","16,195"
서울특별시 송파구 문정1동(1171064100),"9,850","10,035"
서울특별시 송파구 문정2동(1171064200),"13,163","15,595"
서울특별시 송파구 장지동(1171064600),"14,152","15,118"
서울특별시 송파구 위례동(1171064700),"21,116","22,155"
서울특별시 송파구 잠실본동(1171065000),"13,301","14,568"
서울특별시 송파구 잠실2동(1171067000),"16,651","18,219"
서울특별시 송파구 잠실3동(1171068000),"16,273","17,899"
서울특별시 송파구 잠실4동(1171069000),"10,240","11,075"
서울특별시 송파구 잠실6동(1171071000),"7,911","8,787"
서울특별시 송파구 잠실7동(1171072000),"4,417","5,075"
서울특별시 강남구 신사동(1168051000),"7,323","8,504"
서울특별시 강남구 논현1동(1168052100),"10,361","11,620"
서울특별시 강남구 논현2동(1168053100),"9,791","11,160"
서울특별시 강남구 압구정동(1168054500),"12,069","14,025"
서울특별시 강남구 청담동(1168056500),"11,900","13,571"
서울특별시 강남구 삼성1동(1168058000),"6,263","6,512"
서울특별시 강남구 삼성2동(1168059000),"14,817","16,104"
서울특별시 강남구 대치1동(1168060000),"12,026","11,944"
서울특별시 강남구 대치2동(1168061000),"18,574","18,136"
서울특별시 강남구 대치4동(1168063000),"9,278","10,307"
서울특별시 강남구 역삼1동(1168064000),"17,178","18,142"
서울특별시 강남구 역삼2동(1168065000),"16,832","19,118"
서울특별시 강남구 도곡1동(1168065500),"10,158","11,268"
서울특별시 강남구 도곡2동(1168065600),"15,367","17,680"
서울특별시 강남구 개포1동(1168066000),"3,384","3,585"
서울특별시 강남구 개포2동(1168067000),"13,661","14,477"
서울특별시 강남구 개포4동(1168069000),"11,422","12,185"
서울특별시 강남구 세곡동(1168070000),"20,295","22,795"
서울특별시 강남구 일원본동(1168072000),"11,435","11,697"
서울특별시 강남구 일원1동(1168073000),"7,311","7,691"
서울특별시 강남구 일원2동(1168074000),"8,465","9,037"
서울특별시 강남구 수서동(1168075000),"6,607","7,974"
서울특별시 서초구 서초1동(1165051000),"9,931","10,678"
서울특별시 서초구 서초2동(1165052000),"12,669","13,837"
서울특별시 서초구 서초3동(1165053000),"15,444","16,858"
서울특별시 서초구 서초4동(1165053100),"14,946","15,674"
서울특별시 서초구 잠원동(1165054000),"12,820","13,825"
서울특별시 서초구 반포본동(1165055000),270,317
서울특별시 서초구 반포1동(1165056000),"16,725","17,715"
서울특별시 서초구 반포2동(1165057000),"7,502","8,266"
서울특별시 서초구 반포3동(1165058000),"10,468","11,557"
서울특별시 서초구 반포4동(1165058100),"8,971","10,163"
서울특별시 서초구 방배본동(1165059000),"9,548","11,188"
서울특별시 서초구 방배1동(1165060000),"7,875","8,931"
서울특별시 서초구 방배2동(1165061000),"8,794","9,970"
서울특별시 서초구 방배3동(1165062000),"9,019","9,636"
서울특별시 서초구 방배4동(1165062100),"10,653","12,702"
서울특별시 서초구 양재1동(1165065100),"20,448","22,320"
서울특별시 서초구 양재2동(1165065200),"10,863","10,880"
서울특별시 서초구 내곡동(1165066000),"8,443","9,012"
서울특별시 관악구 보라매동(1162052500),"12,016","12,413"
서울특별시 관악구 청림동(1162054500),"7,274","7,720"
서울특별시 관악구 성현동(1162056500),"13,967","14,987"
서울특별시 관악구 행운동(1162057500),"14,122","14,966"
서울특별시 관악구 낙성대동(1162058500),"8,577","8,485"
서울특별시 관악구 청룡동(1162059500),"17,286","18,463"
서울특별시 관악구 은천동(1162060500),"16,131","16,914"
서울특별시 관악구 중앙동(1162061500),"7,339","7,952"
서울특별시 관악구 인헌동(1162062500),"12,589","13,277"
서울특별시 관악구 남현동(1162063000),"8,716","9,342"
서울특별시 관악구 서원동(1162064500),"11,870","10,947"
서울특별시 관악구 신원동(1162065500),"9,095","8,854"
서울특별시 관악구 서림동(1162066500),"12,813","10,350"
서울특별시 관악구 신사동(1162068500),"11,386","11,320"
서울특별시 관악구 신림동(1162069500),"12,034","10,697"
서울특별시 관악구 난향동(1162071500),"7,422","7,758"
서울특별시 관악구 조원동(1162072500),"8,799","8,686"
서울특별시 관악구 대학동(1162073500),"14,178","9,272"
서울특별시 관악구 삼성동(1162074500),"10,574","10,586"
서울특별시 관악구 미성동(1162076500),"14,954","15,606"
서울특별시 관악구 난곡동(1162077500),"13,357","13,267"
서울특별시 영등포구 영등포본동(1156051500),"10,864","10,349"
서울특별시 영등포구 영등포동(1156053500),"15,302","14,128"
서울특별시 영등포구 여의동(1156054000),"15,402","17,438"
서울특별시 영등포구 당산제1동(1156055000),"9,966","10,397"
서울특별시 영등포구 당산제2동(1156056000),"17,651","19,968"
서울특별시 영등포구 도림동(1156058500),"9,003","8,834"
서울특별시 영등포구 문래동(1156060500),"15,895","16,596"
서울특별시 영등포구 양평제1동(1156061000),"8,942","9,408"
서울특별시 영등포구 양평제2동(1156062000),"10,889","11,373"
서울특별시 영등포구 신길제1동(1156063000),"8,840","8,490"
서울특별시 영등포구 신길제3동(1156065000),"8,165","8,343"
서울특별시 영등포구 신길제4동(1156066000),"6,156","6,193"
서울특별시 영등포구 신길제5동(1156067000),"5,071","5,351"
서울특별시 영등포구 신길제6동(1156068000),"9,306","9,742"
서울특별시 영등포구 신길제7동(1156069000),"9,936","9,987"
서울특별시 영등포구 대림제1동(1156070000),"7,168","7,208"
서울특별시 영등포구 대림제2동(1156071000),"5,880","6,049"
서울특별시 영등포구 대림제3동(1156072000),"11,084","11,091"
