구시군,동,지하철 수 ,역이름
종로구,청운효자동,0,
종로구,사직동,0,
종로구,삼청동,0,
종로구,부암동,0,
종로구,평창동,0,
종로구,무악동,1,독립문역
종로구,교남동,0,
종로구,가회동,0,
종로구,종로1.2.3.4가동,4,"광화문역,안국역,종각역,종로3가역"
종로구,종로5.6가동,2,"종로5가역,동대문역"
종로구,이화동,0,
종로구,혜화동,1,혜화역
종로구,창신1동,1,동대문역
종로구,창신2동,0,
종로구,창신3동,1,창신역
종로구,숭인1동,2,"동묘앞역,창신역"
종로구,숭인2동,2,"동묘앞역,신설동역"
중구,소공동,1,시청역
중구,회현동,2,"회현역,서울역"
중구,명동,2,"명동역,을지로입구역"
중구,필동,1,충무로역
중구,장충동,1,동대입구역
중구,광희동,1,동대문역사문화공원역
중구,을지로동,2,"을지로3가역,을지로4가역"
중구,신당동,4,"신당역,청구역,약수역,버티고개역"
중구,다산동,3,"청구역,약수역,버티고개역"
중구,약수동,2,"약수역,버티고개역"
중구,청구동,1,청구역
중구,신당5동,1,신당역
중구,동화동,1,청구역
중구,황학동,1,신당역
중구,중림동,1,충정로역
용산구,후암동,0,
용산구,용산2가동,1,녹사평역
용산구,남영동,1,숙대입구역
용산구,청파동,0,
용산구,원효로1동,1,남영역
용산구,원효로2동,0,
용산구,효창동,1,효창공원앞역
용산구,용문동,1,효창공원앞역
용산구,한강로동,4,"삼각지역,용산역,신용산역,이촌역"
용산구,이촌1동,1,이촌역
용산구,이촌2동,0,
용산구,이태원1동,1,이태원역
용산구,이태원2동,0,
용산구,한남동,2,"한강진역,한남역"
용산구,서빙고동,1,서빙고역
용산구,보광동,0,
성동구,금호1가동,1,신금호역
성동구,금호2.3가동,2,"금호역,신금호역"
성동구,금호4가동,1,금호역
성동구,옥수동,1,옥수역
성동구,응봉동,1,응봉역
성동구,성수1가1동,1,서울숲역
성동구,성수1가2동,1,뚝섬역
성동구,성수2가1동,0,
성동구,성수2가3동,1,성수역
성동구,왕십리도선동,1,상왕십리역
성동구,왕십리2동,1,상왕십리역
성동구,행당1동,1,왕십리역
성동구,행당2동,1,행당역
성동구,마장동,1,마장역
성동구,사근동,1,용답역
성동구,송정동,0,
성동구,용답동,4,"신답역,답심리역,용답역,장한평역"
광진구,중곡1동,1,군자역
광진구,중곡2동,1,군자역
광진구,중곡3동,1,중곡역
광진구,중곡4동,0,
광진구,능동,2,"군자역,어린이대공원역"
광진구,구의1동,1,구의역
광진구,구의2동,1,아차산역
광진구,구의3동,0,
광진구,광장동,1,광나루역
광진구,자양1동,0,
광진구,자양2동,1,구의역
광진구,자양3동,1,건대입구역
광진구,자양4동,1,건대입구역
광진구,화양동,1,건대입구역
광진구,군자동,2,"군자역,어린이대공원역"
동대문구,용신동,3,"신설동역,기동역,용두역"
동대문구,제기동,1,기동역
동대문구,전농1동,1,청량리역
동대문구,전농2동,0,
동대문구,답십리1동,1,답십리역
동대문구,답십리2동,0,
동대문구,장안1동,1,장한평역
동대문구,장안2동,0,
동대문구,청량리동,1,청량리역
동대문구,회기동,0,
동대문구,휘경1동,1,회기역
동대문구,휘경2동,0,
동대문구,이문1동,1,외대앞역
동대문구,이문2동,1,신이문역
중랑구,면목본동,1,면목역
중랑구,면목2동,0,
중랑구,면목3.8동,1,사가정역
중랑구,면목4동,1,용마산역
중랑구,면목5동,0,
중랑구,면목7동,1,사가정역
중랑구,상봉1동,1,상봉역
중랑구,상봉2동,0,
중랑구,중화1동,1,중화역
중랑구,중화2동,2,"중화역,중랑역"
중랑구,묵1동,3,"태릉입구역,화랑대역,먹골역"
중랑구,묵2동,2,"태릉입구역,먹골역"
중랑구,망우본동,2,"신내역,양원역"
중랑구,망우3동,0,
중랑구,신내1동,2,"봉화산역,신내역"
중랑구,신내2동,1,봉화산역
성북구,성북동,0,
성북구,삼선동,2,"한성대입구역,성신여대입구역"
성북구,동선동,1,성신여대입구역
성북구,돈암1동,0,
성북구,돈암2동,0,
성북구,안암동,1,안암역
성북구,보문동,1,보문역
성북구,정릉1동,1,정릉역
성북구,정릉2동,1,정릉역
성북구,정릉3동,0,
성북구,정릉4동,1,북한산보국문역
성북구,길음1동,1,길음역
성북구,길음2동,0,
성북구,종암동,1,고려대역
성북구,월곡1동,0,
성북구,월곡2동,2,"월곡역,상월곡역"
성북구,장위1동,0,
성북구,장위2동,1,돌곶이역
성북구,장위3동,0,
성북구,석관동,2,"돌곶이역,석계역"
강북구,삼양동,3,"삼양역,솔샘역,삼양사거리역"
강북구,미아동,5,"미아역,미아사거리역,삼양역,삼양사거리역,솔샘역"
강북구,송중동,1,미아사거리역
강북구,송천동,1,미아사거리역
강북구,삼각산동,1,솔샘역
강북구,우이동,2,"북한산우이역,솔밭공원역"
강북구,인수동,2,"가오리역,화계역"
강북구,번1동,1,수유역
강북구,번2동,0,
강북구,번3동,0,
강북구,수유1동,1,화계역
강북구,수유2동,1,가오리역
강북구,수유3동,1,수유역
도봉구,쌍문1동,1,솔밭공원역
도봉구,쌍문2동,0,
도봉구,쌍문3동,1,쌍문역
도봉구,쌍문4동,0,
도봉구,방학1동,1,방학역
도봉구,방학2동,0,
도봉구,방학3동,0,
도봉구,창1동,2,"쌍문역,녹천역"
도봉구,창2동,0,
도봉구,창3동,0,
도봉구,창4동,2,"창동역,녹천역"
도봉구,창5동,1,창동역
도봉구,도봉1동,0,
도봉구,도봉2동,2,"도봉산역,도봉역"
노원구,월계1동,1,석계역
노원구,월계2동,2,"녹천역,월계역"
노원구,월계3동,1,월계역
노원구,공릉1동,2,"공릉역,태릉입구역"
노원구,공릉2동,1,화랑대역
노원구,하계1동,1,하계역
노원구,하계2동,1,하계역
노원구,중계본동,0,
노원구,중계1동,0,
노원구,중계2.3동,1,중계역
노원구,중계4동,1,상계역
노원구,상계1동,1,수락산역
노원구,상계2동,0,
노원구,상계3.4동,1,당고개역
노원구,상계5동,1,상계역
노원구,상계6.7동,0,
노원구,상계8동,1,마들역
노원구,상계9동,1,마들역
노원구,상계10동,1,노원역
