,,동,1인가구,etc,합계,1인가구비율
0,송파구,가락1동,1255,8279,9534,0.131634152
1,송파구,가락2동,2272,9210,11482,0.197874935
2,송파구,가락본동,3173,7403,10576,0.300018911
3,구로구,가리봉동,2849,2052,4901,0.581309937
4,금천구,가산동,9775,4349,14124,0.692084395
5,강서구,가양1동,11023,7515,18538,0.594616464
6,강서구,가양2동,3623,3906,7529,0.481206004
7,강서구,가양3동,2925,4532,7457,0.392248894
8,종로구,가회동,631,1102,1733,0.364108482
9,은평구,갈현1동,3373,6571,9944,0.339199517
10,은평구,갈현2동,3136,8337,11473,0.273337401
11,강동구,강일동,2081,9196,11277,0.184534894
12,구로구,개봉1동,3591,9810,13401,0.267965077
13,구로구,개봉2동,2373,9345,11718,0.202508961
14,구로구,개봉3동,1860,6213,8073,0.230397622
15,강남구,개포1동,550,1774,2324,0.236660929
16,강남구,개포2동,1058,6369,7427,0.142453211
17,강남구,개포4동,2280,5518,7798,0.292382662
18,송파구,거여1동,1396,3626,5022,0.277976902
19,송파구,거여2동,1883,4928,6811,0.276464543
20,강동구,고덕1동,1143,7209,8352,0.136853448
21,강동구,고덕2동,1730,6374,8104,0.213474827
22,구로구,고척1동,2216,6586,8802,0.251760963
23,구로구,고척2동,2916,7760,10676,0.273136006
24,마포구,공덕동,6338,10188,16526,0.383516883
25,노원구,공릉1동,7356,9898,17254,0.426335922
26,노원구,공릉2동,4783,10725,15508,0.30842146
27,강서구,공항동,4329,7106,11435,0.378574552
28,광진구,광장동,1501,9649,11150,0.134618834
29,중구,광희동,1391,1165,2556,0.544209703
30,종로구,교남동,1219,2884,4103,0.297099683
31,구로구,구로1동,1822,6091,7913,0.230254012
32,구로구,구로2동,4383,6806,11189,0.391724015
33,구로구,구로3동,6197,5844,12041,0.514658251
34,구로구,구로4동,3764,5662,9426,0.399321027
35,구로구,구로5동,5350,7884,13234,0.40426175
36,은평구,구산동,2785,9063,11848,0.23506077
37,광진구,구의1동,5591,5411,11002,0.508180331
38,광진구,구의2동,3049,7406,10455,0.291630799
39,광진구,구의3동,3110,8001,11111,0.279902799
40,광진구,군자동,5546,4689,10235,0.541866146
41,성동구,금호1가동,1538,4507,6045,0.254425145
42,성동구,금호2.3가동,2519,6666,9185,0.274251497
43,성동구,금호4가동,1624,4188,5812,0.279421886
44,강동구,길동,6909,12600,19509,0.354144241
45,성북구,길음1동,1721,10129,11850,0.145232068
46,성북구,길음2동,1666,4735,6401,0.260271833
47,관악구,낙성대동,6341,3490,9831,0.645000509
48,관악구,난곡동,4155,7569,11724,0.354401228
49,관악구,난향동,1354,4383,5737,0.236011853
50,서대문구,남가좌1동,942,4460,5402,0.174379859
51,서대문구,남가좌2동,4237,7783,12020,0.35249584
52,용산구,남영동,2382,1406,3788,0.628827878
53,관악구,남현동,3855,4724,8579,0.449353072
54,서초구,내곡동,1583,5041,6624,0.238979469
55,동작구,노량진1동,5604,8444,14048,0.398917995
56,동작구,노량진2동,3064,3021,6085,0.503533279
