,자치구,동,계,단독주택,다가구주택,영업겸용,아파트,연립주택,다세대주택,비거주용건물내주택,cluster_h_r
1,종로구,사직동,650,467,108,75,1591,78,411,48,1
2,종로구,삼청동,644,414,134,96,0,19,37,30,0
3,종로구,부암동,1033,750,214,69,121,903,976,37,1
4,종로구,평창동,1553,1088,314,151,1009,2186,1139,71,1
5,종로구,무악동,48,14,9,25,2703,55,46,8,1
6,종로구,교남동,237,100,112,25,2526,88,1060,6,0
7,종로구,가회동,731,556,105,70,0,137,719,14,2
8,종로구,종로1.2.3.4가동,514,319,75,120,959,28,48,103,1
9,종로구,종로5.6가동,730,324,273,133,220,76,137,156,0
10,종로구,이화동,682,265,311,106,189,266,1420,67,2
11,종로구,창신1동,493,173,191,129,868,18,164,46,0
12,종로구,창신2동,879,245,497,137,330,89,1119,49,0
13,종로구,창신3동,306,91,176,39,1735,33,68,8,2
14,종로구,숭인1동,644,307,277,60,654,15,245,30,0
15,종로구,숭인2동,406,163,171,72,1633,224,1029,66,0
16,종로구,청운효자동,1279,834,306,139,260,787,1750,58,1
17,종로구,혜화동,1430,462,797,171,890,458,2172,115,2
19,중구,소공동,16,12,0,0,651,0,0,18,1
20,중구,회현동,246,112,82,52,1342,43,75,38,2
21,중구,명동,201,65,73,63,250,0,54,42,0
22,중구,필동,375,161,111,103,399,89,258,70,0
23,중구,장충동,391,190,137,64,197,262,1532,51,0
24,중구,광희동,450,228,130,92,1206,0,116,55,0
25,중구,을지로동,101,53,0,44,257,0,7,57,2
26,중구,신당5동,607,150,335,122,2279,106,321,63,0
27,중구,황학동,612,148,209,255,2823,12,398,114,0
28,중구,중림동,259,129,96,34,3455,54,529,27,2
29,중구,신당동,968,425,391,152,973,51,426,108,1
30,중구,다산동,865,320,442,103,472,711,2374,85,0
31,중구,약수동,168,41,99,28,5344,389,658,25,0
32,중구,청구동,484,189,218,77,3844,115,432,53,0
33,중구,동화동,224,43,108,73,2610,111,172,63,2
35,용산구,후암동,1470,580,767,123,618,575,2646,54,1
36,용산구,용산2가동,1105,181,782,142,374,128,1601,35,1
37,용산구,남영동,661,305,260,96,440,89,473,51,1
38,용산구,원효로2동,534,173,278,83,3216,118,735,28,1
39,용산구,효창동,271,76,146,49,1584,247,1333,28,0
40,용산구,용문동,443,126,182,135,2282,78,1404,24,0
41,용산구,이촌1동,0,0,0,0,9507,21,11,0,1
42,용산구,이촌2동,60,11,13,36,2783,172,391,9,1
43,용산구,이태원1동,815,304,409,102,712,246,373,52,0
44,용산구,이태원2동,1127,275,741,111,705,232,949,45,1
45,용산구,서빙고동,618,259,301,58,2608,254,780,8,1
46,용산구,보광동,2024,564,1288,172,550,81,892,41,1
47,용산구,청파동,1837,623,1005,209,74,455,3186,84,0
48,용산구,원효로1동,563,219,228,116,3405,43,1161,79,2
49,용산구,한강로동,905,592,200,113,5192,162,431,79,1
50,용산구,한남동,1630,653,759,218,3626,1068,1758,92,1
52,성동구,왕십리2동,608,79,437,92,4243,9,167,33,1
53,성동구,마장동,1206,456,492,258,4173,212,816,157,1
54,성동구,사근동,793,132,545,116,1288,55,982,65,1
55,성동구,행당1동,573,155,341,77,3680,0,680,57,1
56,성동구,행당2동,133,10,104,19,8134,16,194,0,1
57,성동구,응봉동,150,37,96,17,3868,42,1254,8,1
58,성동구,금호1가동,77,20,27,30,5058,0,861,25,0
59,성동구,금호4가동,397,111,229,57,4439,101,254,32,0
60,성동구,성수1가1동,629,117,417,95,3313,307,557,91,2
61,성동구,성수1가2동,659,81,429,149,2345,200,389,96,1
62,성동구,성수2가1동,1079,113,756,210,1913,567,599,130,0
63,성동구,성수2가3동,290,35,160,95,1912,57,589,96,1
64,성동구,송정동,898,100,704,94,793,68,547,25,2
65,성동구,용답동,1472,103,1162,207,621,27,327,57,2
66,성동구,왕십리도선동,544,128,247,169,7302,75,468,91,2
67,성동구,금호2.3가동,893,251,543,99,5019,129,1338,74,0
68,성동구,옥수동,124,19,70,35,9483,125,136,31,2
70,광진구,화양동,1413,18,1127,268,1360,50,2315,158,2
71,광진구,군자동,1435,53,1145,237,779,268,1978,96,2
72,광진구,중곡1동,1094,37,788,269,148,98,2159,114,1
73,광진구,중곡2동,1188,38,876,274,300,100,3265,133,1
74,광진구,중곡3동,1179,57,908,214,462,49,2058,122,1
75,광진구,중곡4동,1508,94,1177,237,314,666,4746,132,1
76,광진구,능동,786,44,647,95,21,72,1620,32,1
77,광진구,구의1동,1070,27,793,250,264,180,3553,128,1
78,광진구,구의2동,977,56,761,160,1355,714,4221,74,1
79,광진구,구의3동,424,15,299,110,5985,326,2291,44,1
80,광진구,광장동,214,37,117,60,9068,481,538,48,1
81,광진구,자양1동,1205,36,893,276,784,182,3118,109,0
82,광진구,자양2동,848,14,601,233,2802,257,3075,84,1
83,광진구,자양3동,402,23,301,78,7088,248,782,62,1
84,광진구,자양4동,1589,68,1278,243,1405,363,1139,117,1
86,동대문구,회기동,744,106,496,142,1577,50,652,92,1
87,동대문구,휘경1동,913,181,640,92,2546,136,677,55,0
88,동대문구,휘경2동,994,137,741,116,4151,414,1191,52,1
89,동대문구,청량리동,1507,383,922,202,3691,65,853,93,1
90,동대문구,용신동,1942,533,1040,369,4446,345,1522,240,2
91,동대문구,제기동,2262,867,863,532,3113,158,2148,215,1
92,동대문구,전농1동,2138,654,1231,253,4044,224,1804,98,1
93,동대문구,전농2동,489,190,249,50,5505,0,417,26,0
94,동대문구,답십리2동,991,224,529,238,8184,45,459,112,1
95,동대문구,장안1동,892,44,583,265,6878,867,2934,228,1
