기간,자치구,동,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수
기간,자치구,동,합계,주택,주택,주택,주택,아파트,연립주택,다세대주택,비거주용건물내주택
기간,자치구,동,합계,계,단독주택,다가구주택,영업겸용,아파트,연립주택,다세대주택,비거주용건물내주택
2020,합계,합계,"3,015,371","307,075","64,911","190,399","51,765","1,772,670","110,562","796,066","28,998"
2020,종로구,소계,"46,859","12,259","6,572","4,070","1,617","15,688","5,460","12,540",912
2020,종로구,사직동,"2,778",650,467,108,75,"1,591",78,411,48
2020,종로구,삼청동,730,644,414,134,96,X,19,37,30
2020,종로구,부암동,"3,070","1,033",750,214,69,121,903,976,37
2020,종로구,평창동,"5,958","1,553","1,088",314,151,"1,009","2,186","1,139",71
2020,종로구,무악동,"2,860",48,14,9,25,"2,703",55,46,8
2020,종로구,교남동,"3,917",237,100,112,25,"2,526",88,"1,060",6
2020,종로구,가회동,"1,601",731,556,105,70,X,137,719,14
2020,종로구,종로1.2.3.4가동,"1,652",514,319,75,120,959,28,48,103
2020,종로구,종로5.6가동,"1,319",730,324,273,133,220,76,137,156
2020,종로구,이화동,"2,624",682,265,311,106,189,266,"1,420",67
2020,종로구,창신1동,"1,589",493,173,191,129,868,18,164,46
2020,종로구,창신2동,"2,466",879,245,497,137,330,89,"1,119",49
2020,종로구,창신3동,"2,150",306,91,176,39,"1,735",33,68,8
2020,종로구,숭인1동,"1,588",644,307,277,60,654,15,245,30
2020,종로구,숭인2동,"3,358",406,163,171,72,"1,633",224,"1,029",66
2020,종로구,청운효자동,"4,134","1,279",834,306,139,260,787,"1,750",58
2020,종로구,혜화동,"5,065","1,430",462,797,171,890,458,"2,172",115
2020,중구,소계,"42,234","5,967","2,266","2,436","1,265","26,102","1,944","7,352",869
2020,중구,소공동,685,16,12,X,X,651,X,X,18
2020,중구,회현동,"1,744",246,112,82,52,"1,342",43,75,38
2020,중구,명동,547,201,65,73,63,250,X,54,42
2020,중구,필동,"1,191",375,161,111,103,399,89,258,70
2020,중구,장충동,"2,433",391,190,137,64,197,262,"1,532",51
2020,중구,광희동,"1,828",450,228,130,92,"1,206",X,116,55
2020,중구,을지로동,422,101,53,X,44,257,X,7,57
2020,중구,신당5동,"3,376",607,150,335,122,"2,279",106,321,63
2020,중구,황학동,"3,959",612,148,209,255,"2,823",12,398,114
2020,중구,중림동,"4,324",259,129,96,34,"3,455",54,529,27
2020,중구,신당동,"2,526",968,425,391,152,973,51,426,108
2020,중구,다산동,"4,507",865,320,442,103,472,711,"2,374",85
2020,중구,약수동,"6,584",168,41,99,28,"5,344",389,658,25
2020,중구,청구동,"4,928",484,189,218,77,"3,844",115,432,53
2020,중구,동화동,"3,180",224,43,108,73,"2,610",111,172,63
2020,용산구,소계,"74,542","14,064","4,941","7,359","1,764","37,676","3,969","18,124",709
2020,용산구,후암동,"5,363","1,470",580,767,123,618,575,"2,646",54
2020,용산구,용산2가동,"3,243","1,105",181,782,142,374,128,"1,601",35
2020,용산구,남영동,"1,714",661,305,260,96,440,89,473,51
2020,용산구,원효로2동,"4,631",534,173,278,83,"3,216",118,735,28
2020,용산구,효창동,"3,463",271,76,146,49,"1,584",247,"1,333",28
2020,용산구,용문동,"4,231",443,126,182,135,"2,282",78,"1,404",24
2020,용산구,이촌1동,"9,540",X,X,X,X,"9,507",21,11,X
2020,용산구,이촌2동,"3,415",60,11,13,36,"2,783",172,391,9
2020,용산구,이태원1동,"2,198",815,304,409,102,712,246,373,52
2020,용산구,이태원2동,"3,058","1,127",275,741,111,705,232,949,45
2020,용산구,서빙고동,"4,268",618,259,301,58,"2,608",254,780,8
2020,용산구,보광동,"3,588","2,024",564,"1,288",172,550,81,892,41
2020,용산구,청파동,"5,636","1,837",623,"1,005",209,74,455,"3,186",84
2020,용산구,원효로1동,"5,251",563,219,228,116,"3,405",43,"1,161",79
2020,용산구,한강로동,"6,769",905,592,200,113,"5,192",162,431,79
2020,용산구,한남동,"8,174","1,630",653,759,218,"3,626","1,068","1,758",92
2020,성동구,소계,"91,329","10,525","1,947","6,759","1,819","67,584","1,990","10,158","1,072"
2020,성동구,왕십리2동,"5,060",608,79,437,92,"4,243",9,167,33
2020,성동구,마장동,"6,564","1,206",456,492,258,"4,173",212,816,157
2020,성동구,사근동,"3,183",793,132,545,116,"1,288",55,982,65
2020,성동구,행당1동,"4,990",573,155,341,77,"3,680",X,680,57
2020,성동구,행당2동,"8,481",133,10,104,19,"8,134",16,194,X
2020,성동구,응봉동,"5,322",150,37,96,17,"3,868",42,"1,254",8
2020,성동구,금호1가동,"6,021",77,20,27,30,"5,058",X,861,25
2020,성동구,금호4가동,"5,223",397,111,229,57,"4,439",101,254,32
2020,성동구,성수1가1동,"4,897",629,117,417,95,"3,313",307,557,91
2020,성동구,성수1가2동,"3,689",659,81,429,149,"2,345",200,389,96
2020,성동구,성수2가1동,"4,288","1,079",113,756,210,"1,913",567,599,130
2020,성동구,성수2가3동,"2,944",290,35,160,95,"1,912",57,589,96
2020,성동구,송정동,"2,331",898,100,704,94,793,68,547,25
2020,성동구,용답동,"2,504","1,472",103,"1,162",207,621,27,327,57
2020,성동구,왕십리도선동,"8,480",544,128,247,169,"7,302",75,468,91
2020,성동구,금호2.3가동,"7,453",893,251,543,99,"5,019",129,"1,338",74
2020,성동구,옥수동,"9,899",124,19,70,35,"9,483",125,136,31
2020,광진구,소계,"89,832","15,332",617,"11,711","3,004","32,135","4,054","36,858","1,453"
2020,광진구,화양동,"5,296","1,413",18,"1,127",268,"1,360",50,"2,315",158
2020,광진구,군자동,"4,556","1,435",53,"1,145",237,779,268,"1,978",96
2020,광진구,중곡1동,"3,613","1,094",37,788,269,148,98,"2,159",114
2020,광진구,중곡2동,"4,986","1,188",38,876,274,300,100,"3,265",133
2020,광진구,중곡3동,"3,870","1,179",57,908,214,462,49,"2,058",122
2020,광진구,중곡4동,"7,366","1,508",94,"1,177",237,314,666,"4,746",132
2020,광진구,능동,"2,531",786,44,647,95,21,72,"1,620",32
2020,광진구,구의1동,"5,195","1,070",27,793,250,264,180,"3,553",128
2020,광진구,구의2동,"7,341",977,56,761,160,"1,355",714,"4,221",74
2020,광진구,구의3동,"9,070",424,15,299,110,"5,985",326,"2,291",44
2020,광진구,광장동,"10,349",214,37,117,60,"9,068",481,538,48
2020,광진구,자양1동,"5,398","1,205",36,893,276,784,182,"3,118",109
2020,광진구,자양2동,"7,066",848,14,601,233,"2,802",257,"3,075",84
2020,광진구,자양3동,"8,582",402,23,301,78,"7,088",248,782,62
2020,광진구,자양4동,"4,613","1,589",68,"1,278",243,"1,405",363,"1,139",117
2020,동대문구,소계,"103,520","17,120","4,344","9,942","2,834","65,033","3,274","16,511","1,582"
2020,동대문구,회기동,"3,115",744,106,496,142,"1,577",50,652,92
2020,동대문구,휘경1동,"4,327",913,181,640,92,"2,546",136,677,55
2020,동대문구,휘경2동,"6,802",994,137,741,116,"4,151",414,"1,191",52
2020,동대문구,청량리동,"6,209","1,507",383,922,202,"3,691",65,853,93
2020,동대문구,용신동,"8,495","1,942",533,"1,040",369,"4,446",345,"1,522",240
2020,동대문구,제기동,"7,896","2,262",867,863,532,"3,113",158,"2,148",215
2020,동대문구,전농1동,"8,308","2,138",654,"1,231",253,"4,044",224,"1,804",98
2020,동대문구,전농2동,"6,437",489,190,249,50,"5,505",X,417,26
2020,동대문구,답십리2동,"9,791",991,224,529,238,"8,184",45,459,112
2020,동대문구,장안1동,"11,799",892,44,583,265,"6,878",867,"2,934",228
2020,동대문구,장안2동,"9,852",849,72,574,203,"6,061",637,"2,148",157
2020,동대문구,이문1동,"4,948","1,501",382,951,168,"2,232",281,837,97
2020,동대문구,이문2동,"6,280",954,383,510,61,"4,862",20,395,49
2020,동대문구,답십리1동,"9,261",944,188,613,143,"7,743",32,474,68
2020,중랑구,소계,"112,364","18,560","1,787","13,464","3,309","55,499","4,466","32,303","1,536"
2020,중랑구,면목2동,"6,489","1,528",98,"1,133",297,"2,444",210,"2,125",182
