,출생비_k,사망비_k,혼인비_k,이혼비_k,지하철 수 ,대학 수,전입_s,전출_s,동,자치구
0,0.002441827,0.00416547,0.001723643,0.00186728,0,0,-1.394381745,-1.698988236,개포1동,강남구
1,0.005396961,0.00202386,0.002165886,0.000994177,3,0,3.622902733,0.387324452,개포2동,강남구
2,0.003849245,0.002411066,0.003849245,0.001734275,0,0,0.595518648,-0.178813871,개포4동,강남구
3,0.004232467,0.003686342,0.005097165,0.002047968,4,0,1.003061813,1.526012631,논현1동,강남구
4,0.00486386,0.003624052,0.004148586,0.001907396,4,1,0.463748211,0.793174462,논현2동,강남구
5,0.001375057,0.001708405,0.001125047,0.000666694,2,0,-0.206779834,0.014814412,대치1동,강남구
6,0.002178293,0.002477809,0.001388662,0.001034689,3,0,1.958258481,2.717275377,대치2동,강남구
7,0.003207903,0.002545954,0.002698712,0.001578492,2,0,0.697821434,0.970773913,대치4동,강남구
8,0.005227538,0.003733956,0.003173862,0.000700117,1,0,-0.226795597,-0.002496726,도곡1동,강남구
9,0.004477115,0.002752821,0.001905799,0.001058777,3,0,0.303622111,0.682896102,도곡2동,강남구
10,0.005699563,0.003513429,0.003357277,0.002029981,3,0,-0.767777179,-0.766110252,삼성1동,강남구
11,0.005311397,0.00320627,0.003238657,0.001716488,3,0,1.403377064,1.165043349,삼성2동,강남구
12,0.005831649,0.004321461,0.003717386,0.001579889,0,0,1.156515993,1.871594235,세곡동,강남구
13,0.006344225,0.010027969,0.006003138,0.001910089,1,0,-0.853400163,-0.929604331,수서동,강남구
14,0.003586033,0.005284681,0.003586033,0.001069519,3,0,-0.655466511,-0.561582364,신사동,강남구
15,0.003303237,0.004932834,0.003699626,0.001629597,1,0,0.727289085,0.747652581,신사동,관악구
16,0.00538826,0.004127178,0.002254662,0.001375726,0,0,-0.002730255,0.348214104,압구정동,강남구
17,0.003474184,0.002852785,0.005762061,0.002485595,6,0,4.025997951,4.527251012,역삼1동,강남구
18,0.004085717,0.002612635,0.002251313,0.000944996,3,0,1.531811541,1.848512718,역삼2동,강남구
19,0.003722414,0.006514225,0.004320659,0.001462377,1,0,-0.761661251,-0.698148007,일원1동,강남구
20,0.006512797,0.005198812,0.004570384,0.001256856,2,0,-0.125604797,-0.217283066,일원2동,강남구
21,0.004493605,0.002851711,0.00229001,0.000864155,1,0,-0.451972925,-0.253828802,일원본동,강남구
22,0.005569283,0.003725929,0.00254932,0.000823626,3,0,0.176299621,0.760475646,청담동,강남구
23,0.003418595,0.00482266,0.002563946,0.001800867,1,0,2.867307697,-0.198689622,강일동,강동구
24,0.006135738,0.003046999,0.003046999,0.001252191,1,0,-0.083349298,0.819461745,고덕1동,강동구
25,0.00759505,0.00290399,0.00317205,0.001295626,1,0,0.18908747,0.303974529,고덕2동,강동구
26,0.004587962,0.004609914,0.004741625,0.001580542,1,0,1.914890996,2.546728611,길동,강동구
27,0.007575758,0.007575758,0.143939394,0.015151515,2,0,-1.854744284,-2.292696149,둔촌1동,강동구
28,0.006033674,0.004932937,0.003342982,0.001182274,0,0,-0.192879999,0.639297681,둔촌2동,강동구
29,0.007908509,0.003993022,0.005039736,0.001201783,2,0,0.322525887,0.555306605,명일1동,강동구
30,0.002232015,0.002403709,0.001831397,0.000858467,1,0,-0.290178845,-0.553888525,명일2동,강동구
31,0.004679964,0.001737105,0.002002779,0.000756151,2,0,5.001766375,0.721365297,상일동,강동구
32,0.006318323,0.003911343,0.003359743,0.001404072,1,0,-0.254595267,-0.222412292,성내1동,강동구
33,0.005640303,0.005042089,0.004230227,0.00200829,2,0,0.290834263,0.598905026,성내2동,강동구
34,0.005353645,0.004047878,0.00343852,0.001262242,1,0,0.16795972,0.195619629,성내3동,강동구
35,0.005414532,0.005006986,0.005036097,0.002619935,1,0,0.770100577,1.186201406,암사1동,강동구
36,0.010036316,0.003235391,0.004952129,0.001452625,1,0,-0.634338762,-0.743028734,암사2동,강동구
37,0.005282976,0.003091103,0.002585286,0.000730624,0,0,-0.744981449,-0.737258355,암사3동,강동구
38,0.004870373,0.006331485,0.007380489,0.002809831,2,0,0.282494362,0.573900049,천호1동,강동구
39,0.005291805,0.005291805,0.0070759,0.0021772,2,0,1.097024699,1.904293051,천호2동,강동구
40,0.005982582,0.005073836,0.00443014,0.001855358,1,0,1.05810516,1.037453852,천호3동,강동구
41,0.002710914,0.006403365,0.002991353,0.002150035,5,1,-0.075009397,0.07957089,미아동,강북구
42,0.003311977,0.006461071,0.003746335,0.002551851,1,0,-0.300742719,-0.18843117,번1동,강북구
43,0.003452023,0.007735089,0.002876686,0.00140638,0,0,-1.002962389,-1.050141143,번2동,강북구
44,0.00305499,0.009883791,0.002695579,0.001976758,0,0,-1.079133485,-1.060399595,번3동,강북구
45,0.004732014,0.003476581,0.001931434,0.000933526,1,0,-0.210115794,-0.136497756,삼각산동,강북구
46,0.004565236,0.007253179,0.003413261,0.001919959,3,0,-0.354674079,-0.134574296,삼양동,강북구
47,0.004409051,0.005639483,0.003212797,0.002187436,1,0,0.090120644,0.338596805,송중동,강북구
48,0.002338867,0.00697826,0.002338867,0.002185499,1,0,-0.156740428,0.130863151,송천동,강북구
