,index,id,내용,실제값,svc예측값,lr예측값,nb예측값,
0,6877,https://www.instagram.com/p/Ba0QhPaFfTT/,STYLEKOREAN 한국 한국여행 하니 시스루뱅앞머리 리사 이태원카페 한국어공부 피노키오 오오티디 애쉬그레이,0,1,1,1,
1,3042,https://www.instagram.com/p/BSV9JOfjsRT/,이태원 한남동 우사단길 same,0,1,1,1,
3,610,https://www.instagram.com/p/BZnGfVgFr93/,재즈 재즈나잇 오성택밴드 한남동 웨이베터 그릴 가든 맛집 한남동맛집 이태원 브런치 디너 런치 샐러드바 바베큐플래터 대관 웨딩 피로연 terrace waybetter han0m grill garden brunch dinner jazz jazznight,0,1,1,1,"해시태그내용엔 광고,대관에 대한  정보가 적음"
8,3212,https://www.instagram.com/p/BZqYyt0j6Rz/,오만지아 레베카 뮤지컬 댄버스부인 주역 주인공 실력도최고 원탑 연출병 부라보 소심병 평론병 리뷰병 문화생활 데이트 공연스타그램 뮤지컬레베카 뮤지컬관람 한남동맛집 이탈리안레스토랑 오늘아님,0,1,1,1,
10,834,https://www.instagram.com/p/BT6NhCNBdAc/,서울 이태원 우사단길 한남동 이슬람성원 보름달 Seoul Itaewon SeoulCentralMosque moon lu0 StoryofSeoul night,0,1,1,1,"이태원에서 달 사진을 찍었지만, 맛집은 아님"
13,1985,https://www.instagram.com/p/BM-ljq_janZ/,SAME plants green selfie ootd same_cafe 우사단길 interior 인테리어이쁜카페,1,0,0,0,"태그 값이 셀카에 대한 내용으로 다르지만, 내용은 맛집임"
14,7184,https://www.instagram.com/p/1Ixf1KKNIm/,이태원 녹사평 경리단길 보석길 봄 봄 사랑/사랑하나봄,0,1,1,1,
16,9633,https://www.instagram.com/p/BbsPOxDDToG/,이태원파이프 포테이토피자 망고맥주 파인애플맥주 대만맥주,1,0,0,0,"태그 값 내용이 맥주 내용임, 댓글에 추가 태그값이 있으나 댓글 태그값을 가져오지 않음,"
17,6052,https://www.instagram.com/p/BahcPGVhTW1/,페이지매일 pagemail mtl morethanless 한남동 한남동카페 페이지매일전시 페이지매일팝업 팝업스토어 바우하우스 바우하우스포스터 그래픽디자인 디자이너 graphicdesign design designer bauhaus,0,1,1,1,해시태그 내용엔 전시에 대한 정보가 적음
18,2678,https://www.instagram.com/p/BXj3CDPhRJk/,8월 책 커피 이벤트 독립서점 동네서점 책스타그램 북스타그램 서점 망고서림 bookstore 책방 우사단길 이태원,1,0,0,0,
