,STDR_YM_CD,TRDAR_SE_C,TRDAR_SE_1,TRDAR_NO,TRDAR_NM,XCNTS_VALU,YDNTS_VALU,SIGNGU_CD,ADSTRD_CD,geometry
1090,202112,D,발달상권,2120234,가락시장역,210458.0,443967.0,11710,11710620,"POLYGON ((210342.67 443526.89, 210252.72 443494.87, 210186.31 443471.29, 210155.73 443558.35, 210309.3 443617.17, 210497.74 443689.36, 210442.72 443764.47, 210386.18 443841.63, 210307.66 443949.18, 210392.46 444006.27, 210399.42 444007.66, 210418.67 443986.8, 210423.05 443941.96, 210446.07 443940.83, 210446.47 443944.28, 210455.69 443985.13, 210480.9 443989.27, 210479.17 444022.75, 210497.42 444025.88, 210490.62 444051.06, 210476.81 444127.36, 210492.77 444166.85, 210522.05 444196.78, 210479.96 444261.03, 210473.8 444272.78, 210485.72 444280.59, 210487.53 444292.36, 210468.04 444321.03, 210456.76 444335.23, 210414.22 444333.09, 210408.58 444292.59, 210379.93 444336.22, 210345.88 444313.92, 210333.12 444332.85, 210322.52 444348.55, 210300.48 444381.2, 210291.24 444394.85, 210302.35 444402.03, 210328.76 444419.69, 210392.19 444461.99, 210422.19 444418.05, 210447.05 444381.56, 210482.86 444329.07, 210502.35 444300.46, 210556.26 444221.46, 210581.3 444184.72, 210656.42 444074.64, 210680.26 444039.7, 210714.8 443989, 210734.64 443959.9, 210760.39 443924.79, 210691.09 443878.3, 210725.68 443829.23, 210653.81 443780.9, 210618.65 443757.46, 210584.95 443734.98, 210504.33 443681.12, 210558.07 443605.56, 210342.67 443526.89))"
1091,202112,D,발달상권,2120175,남부터미널역,201601.0,442843.0,11650,11650510,"POLYGON ((201752.48 442664.41, 201777.27 442681.17, 201784.68 442666.13, 201846.23 442732.66, 201923.04 442812.48, 201935.9 442825.8, 201955.7 442773.95, 201930.89 442746.74, 201908.43 442722.94, 201884.82 442697.25, 201796.04 442605.37, 201800.64 442578.6, 201681.2 442554.77, 201593.4 442523.15, 201551.62 442611.15, 201551.53 442611.4, 201523.65 442666.98, 201492.73 442733.72, 201430.87 442704.69, 201309.94 442647.97, 201304.42 442690.66, 201297.54 442747.21, 201290.18 442804.33, 201239.25 442792.04, 201223.29 442859.12, 201200.36 442955.57, 201262.56 442993.17, 201279.53 443001.97, 201341.07 443041.82, 201363.31 442996.11, 201423.91 443019.57, 201482.14 443042.06, 201526.62 443059.29, 201552.02 443068.81, 201547.3 443028, 201578.8 442977.4, 201583.16 442955.38, 201706.78 443000.69, 201706.13 443009.25, 201676.78 443077.32, 201747.77 443066.44, 201755.79 443065.22, 201800.49 443058.32, 201781.51 443159.56, 201785.97 443159.86, 201832.81 443163.23, 201840.07 443112.93, 201848.06 443057.32, 201932.1 443072.28, 201956.96 443076.66, 201974.98 443030.54, 202001.58 442964.82, 201962.92 442950.66, 201969.85 442930.48, 201991.59 442925.84, 201973.72 442889.71, 201909.8 442893.59, 201860.35 442892.19, 201795.52 442887.25, 201785.14 442885.08, 201717.57 442870.74, 201662.68 442857.16, 201684.05 442810.69, 201734.65 442833.42, 201740.79 442820.04, 201756.91 442782.59, 201769.07 442753.22, 201746.94 442741.48, 201760.02 442715.81, 201731.04 442693.62, 201741.95 442678.74, 201752.48 442664.41))"
1092,202112,D,발달상권,2120137,문래역(문래로데오거리),190840.0,446506.0,11560,11560605,"POLYGON ((190855.76 446471.46, 190919.77 446464.51, 190999.52 446455.8, 190990.84 446390.52, 190975.1 446392.22, 190887.9 446401.86, 190793.48 446412.23, 190680.31 446424.66, 190692.87 446489.17, 190718.69 446621.51, 190869.26 446603.73, 190873.64 446603.22, 190871.68 446593.32, 190865.33 446543.69, 190858.67 446491.43, 190855.76 446471.46))"
1093,202112,D,발달상권,2120035,퇴계로5가,200193.0,451556.0,11140,11140590,"POLYGON ((200323.33 451546.54, 200349.29 451437.93, 200233.72 451432.7, 200137.84 451453, 200101.54 451451.42, 200103.64 451483.07, 200075.87 451473.9, 200074.14 451489.38, 200040.71 451505.84, 200049.18 451514.68, 200043.91 451569.82, 200040.18 451608.72, 200035.91 451664.05, 200146.53 451673.1, 200216.1 451678.78, 200221.74 451586.46, 200223.16 451559.16, 200227.99 451518.52, 200323.33 451546.54))"
1094,202112,D,발달상권,2120073,미아사거리,202532.0,456473.0,11290,11290715,"POLYGON ((202732.12 456405.35, 202746.3 456344.37, 202712.7 456345.33, 202660.21 456346.77, 202609.89 456347.24, 202537 456347.65, 202537.24 456302.34, 202462.56 456303.35, 202435.78 456306.51, 202403.06 456270.84, 202317.51 456316.81, 202341.19 456341.19, 202357.98 456331.24, 202394.46 456336.26, 202407.66 456376.46, 202405.48 456378.56, 202441.58 456404.89, 202474.07 456420.17, 202490.1 456438.65, 202495.76 456475.72, 202489.85 456505.84, 202459.05 456536.96, 202498.81 456582.88, 202527.63 456609.31, 202498.25 456632.5, 202511.2 456664.08, 202543.27 456675.17, 202562.54 456673.31, 202574.52 456654.69, 202605.88 456665.71, 202622.64 456673.14, 202673.41 456662.56, 202685.2 456617.68, 202691.2 456585.49, 202700.62 456540.4, 202701.5 456536.72, 202732.12 456405.35))"
1095,202112,D,발달상권,2120010,원남동사거리,199795.0,452841.0,11110,11110615,"POLYGON ((199859.42 452644.41, 199859.99 452643.54, 199786.13 452638.7, 199786.47 452632.89, 199740.26 452644.15, 199711.21 452621.9, 199668.91 452767.27, 199662.97 452800.08, 199632.08 452869.07, 199626.62 452927.14, 199605.11 453001.67, 199683.03 452962.31, 199765.13 452926.24, 199751.73 453046.48, 199757 453050.35, 199758.98 453043.3, 199791.7 453046.34, 199790.67 453060.95, 199799.59 453056.86, 199815.43 453019.47, 199826.36 453019.89, 199831.25 453010.13, 199874.66 453021.53, 199876.8 453014.56, 199899 453018.79, 199900.09 453010.43, 199906.88 452983.19, 199926.88 452956.83, 199953.48 452956.68, 199971.5 452927.81, 199945.13 452921.28, 199929.76 452885.42, 199929.86 452876.67, 199915.07 452868.64, 199925.28 452831.44, 199909.88 452821.83, 199913.88 452815.81, 199928.33 452817.34, 199933.6 452804.27, 199961.08 452820.75, 199982.17 452820.98, 199985.1 452795.51, 199939.05 452776.39, 199947.31 452760.73, 199939.23 452753.83, 199945.29 452730.52, 199939.24 452726.27, 199957.22 452681.33, 199936.55 452670.05, 199950.39 452638.57, 199859.42 452644.41))"
1096,202112,D,발달상권,2120013,이화사거리,200141.0,452868.0,11110,11110640,"POLYGON ((200317.18 452733.91, 200372.58 452658.43, 200335.1 452658.53, 200277.26 452652.23, 200220.72 452647, 200179.44 452643.69, 200178.95 452631.25, 200046.39 452626.84, 199950.39 452638.57, 199936.55 452670.05, 199957.22 452681.33, 199939.24 452726.27, 199945.29 452730.52, 199939.23 452753.83, 199947.31 452760.73, 199939.05 452776.39, 199985.1 452795.51, 199982.17 452820.98, 199961.08 452820.75, 199933.6 452804.27, 199928.33 452817.34, 199913.88 452815.81, 199909.88 452821.83, 199925.28 452831.44, 199915.07 452868.64, 199929.86 452876.67, 199929.76 452885.42, 199945.13 452921.28, 199971.5 452927.81, 199987.82 452929.98, 200003.77 452932.15, 200082 452943.05, 200079.12 452967.77, 200068.76 453021.6, 200060.49 453026.88, 200064.12 453102.55, 200195.93 453109.01, 200196.42 453021.7, 200287.82 453038.24, 200297.74 453030.34, 200370.5 453033.3, 200371.13 452964.74, 200344.61 452961.21, 200341.14 452946.36, 200302.49 452951.39, 200312.97 452894.06, 200259.33 452877.61, 200287.55 452777.78, 200307.88 452744.56, 200317.18 452733.91))"
1097,202112,D,발달상권,2120196,서울세관,203125.0,446192.0,11680,11680531,"POLYGON ((203212.85 446006.35, 203212.7 445982.09, 203215.99 445937.56, 203244.2 445847.54, 203205.04 445832.94, 203162.17 445816.86, 203117.64 445799.39, 203087.39 445787.5, 203086.35 445790.87, 203076.36 445822.7, 203064.61 445857.26, 203056.68 445880.56, 202956.66 445843.87, 202948.34 445840.78, 202925.2 445898.85, 202927.5 445899.75, 202943.59 445905.86, 202970.3 445915.95, 202976.12 445888.89, 203008.67 445902.17, 203000.24 445927.27, 203050.33 445945.43, 203049.74 445974.61, 203045.78 446050.95, 203044.26 446093.56, 203045.88 446185.15, 203043.84 446272.01, 202994.84 446253.3, 202977.89 446301.43, 202999.19 446306.41, 202982.04 446379.29, 202938.5 446365.14, 202921.75 446358.9, 202915.2 446487.4, 202913.81 446544.7, 202916.15 446545.35, 203011.65 446572.31, 203098.89 446596.92, 203124.21 446526, 203124.69 446483.44, 203125.68 446399.26, 203175.19 446413.53, 203205.87 446422.36, 203250.77 446435.27, 203239.32 446383.46, 203277.84 446393.25, 203264.98 446439.36, 203273.36 446441.76, 203321.09 446455.46, 203313.5 446420, 203304.24 446376.71, 203280.96 446276.4, 203283.39 446277.36, 203284.04 446183.8, 203307.74 446123.92, 203335.89 446050.28, 203259.99 446023.29, 203212.85 446006.35))"
1098,202112,D,발달상권,2120203,강남구청역,203588.0,446321.0,11680,11680531,"POLYGON ((203763.8 446023.19, 203688.44 446001.21, 203626.84 445983.24, 203611.32 446032.64, 203699.26 446059.51, 203667.54 446164.81, 203663.65 446163.52, 203622.97 446150.58, 203600.17 446223.35, 203589.86 446219.67, 203567.76 446296.76, 203539.35 446285.64, 203536.73 446284.61, 203558.87 446210.16, 203505.18 446189.65, 203477.69 446261.42, 203407.08 446233.8, 203345.99 446209.08, 203284.04 446183.8, 203283.39 446277.36, 203280.96 446276.4, 203304.24 446376.71, 203313.5 446420, 203415.7 446449.03, 203405.83 446480.8, 203440.41 446491.35, 203458.84 446430.23, 203488.28 446441.86, 203470.87 446500.68, 203501.56 446510.07, 203518.37 446453.74, 203549.99 446466.2, 203585.13 446480.08, 203569.72 446530.35, 203554.54 446582.01, 203536.6 446635.26, 203543.96 446637.46, 203581.9 446648.8, 203582.45 446647.06, 203623.14 446659.12, 203643.45 446588.83, 203678.01 446597.57, 203687.66 446562.67, 203701.06 446511.06, 203721.97 446436.78, 203727.15 446437.96, 203750.8 446355.51, 203766.31 446302.24, 203776.59 446266.97, 203783.69 446242.48, 203794.37 446205.78, 203828.3 446214.64, 203849.4 446220.18, 203866.33 446164.92, 203886.69 446096, 203895.23 446066.15, 203876.05 446059.14, 203840.72 446046.2, 203806.14 446035.77, 203763.87 446023.01, 203763.8 446023.19))"
1099,202112,D,발달상권,2120143,당산역,191298.0,448337.0,11560,11560560,"POLYGON ((191608.81 448137.38, 191642.23 448147.93, 191710.14 448085.96, 191670.17 448062.53, 191664.53 448064.16, 191595.99 448105.93, 191513.61 448156.19, 191455.76 448191.45, 191442.52 448199.5, 191414.34 448216.7, 191329.58 448269.99, 191290.85 448206.51, 191276.93 448183.92, 191263.1 448162.21, 191244.75 448133.39, 191193.44 448053.78, 191102.67 448110.82, 191152.45 448190.98, 191185.6 448229.71, 191201.13 448247.81, 191209.25 448257.08, 191173.96 448281.46, 191184.28 448298.13, 191174.78 448303.97, 191180.65 448312.97, 191161.34 448324.39, 191162.41 448335.34, 191143.73 448346.64, 191082.46 448383.68, 191056.75 448338.65, 191042.47 448315.38, 191007.24 448336.63, 190988.56 448306.62, 190885.7 448372.59, 190936.5 448453.32, 190966.68 448498.27, 190997.63 448544.41, 191097.18 448481.09, 191097.82 448482.09, 191121.21 448519.66, 191121.3 448519.85, 191146.28 448559.99, 191170.86 448599.44, 191184.74 448620.02, 191235.29 448606.31, 191293.1 448577.67, 191393.03 448501.67, 191448.42 448459.57, 191521.49 448400.03, 191560.11 448371.13, 191502.05 448352.95, 191480.98 448368.66, 191432.45 448335.77, 191459.43 448308.18, 191452.23 448294.41, 191504.92 448261.85, 191477.78 448225.25, 191474.12 448219.58, 191558.06 448181.72, 191602.21 448173.32, 191608.81 448137.38))"
