,상호명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,법정동명,도로명주소,경도,위도
182,치킨호프,음식,닭/오리요리,서울특별시,용산구,원효로2동,원효로3가,서울특별시 용산구 원효로 129,126.957471251582,37.5338803401326
350,월당,음식,일식/수산물,서울특별시,용산구,한남동,한남동,서울특별시 용산구 이태원로42길 42,127.000806682355,37.5363994566234
1348,구서방식당,음식,한식,서울특별시,용산구,이태원2동,이태원동,서울특별시 용산구 회나무로13가길 23,126.990775400922,37.5410536565833
1656,옛이야기,음식,분식,서울특별시,용산구,한남동,한남동,서울특별시 용산구 한남대로18길 18,127.008369820336,37.5343367351468
1681,paulbassett,음식,커피점/카페,서울특별시,용산구,한남동,한남동,서울특별시 용산구 한남대로 48,127.008156795201,37.5333347823459
1914,겸손한술집,음식,양식,서울특별시,용산구,이태원1동,이태원동,서울특별시 용산구 녹사평대로40길 47,126.988453546311,37.5345102130609
1959,오복방앗간,음식,제과제빵떡케익,서울특별시,용산구,보광동,보광동,서울특별시 용산구 보광로14길 22,127.00038207125,37.5275205383295
1986,소담,음식,한식,서울특별시,용산구,한강로동,한강로2가,서울특별시 용산구 한강대로40길 18,126.970127380081,37.530125905823
1989,김남희식당,음식,한식,서울특별시,용산구,용문동,용문동,서울특별시 용산구 새창로 114-9,126.959984628289,37.5370291272722
2187,계경순대국,음식,별식/퓨전요리,서울특별시,용산구,남영동,갈월동,서울특별시 용산구 한강대로 306,126.972224604696,37.5454889777272
2393,박사베이커리,음식,제과제빵떡케익,서울특별시,용산구,보광동,보광동,서울특별시 용산구 보광로 38,126.999735578697,37.5276412112919
2438,그냥작고소박한우동집,음식,분식,서울특별시,용산구,한강로동,용산동3가,서울특별시 용산구 한강대로62나길 16,126.974595361245,37.5343366296812
2482,보르도피자,음식,패스트푸드,서울특별시,용산구,서빙고동,동빙고동,서울특별시 용산구 서빙고로91나길 92,126.996220898592,37.5248181392996
2491,한솥도시락,음식,패스트푸드,서울특별시,용산구,남영동,남영동,서울특별시 용산구 두텁바위로 2,126.972412818269,37.5449680101934
2790,커플팔찌만들기STAY,음식,커피점/카페,서울특별시,용산구,남영동,남영동,서울특별시 용산구 한강대로84길 11,126.973153782736,37.5437490358071
2826,다물회관,음식,일식/수산물,서울특별시,용산구,이태원1동,이태원동,서울특별시 용산구 이태원로27가길 9,126.994761134072,37.5349605353876
3009,우라만,음식,양식,서울특별시,용산구,이태원2동,이태원동,서울특별시 용산구 소월로38길 25,126.990361308351,37.5432306479476
3178,피제리아디부자한강진1호점,음식,양식,서울특별시,용산구,한남동,한남동,서울특별시 용산구 이태원로55가길 28,126.999788204558,37.5372558400293
3238,제주흙돼지,음식,한식,서울특별시,용산구,이촌1동,이촌동,서울특별시 용산구 이촌로75길 16-9,126.97477025893,37.5207323385139
3320,타이거하우스,음식,한식,서울특별시,용산구,한남동,한남동,서울특별시 용산구 우사단로10길 95,127.000639439272,37.5319738962941
3332,피스틸,음식,한식,서울특별시,용산구,이태원1동,이태원동,서울특별시 용산구 보광로59길 9,126.993429476593,37.5338589249003
3333,섬진강민물매운탕,음식,일식/수산물,서울특별시,용산구,한남동,한남동,서울특별시 용산구 대사관로30길 8,127.005323013671,37.5328694340067
3402,라운드어바웃,음식,일식/수산물,서울특별시,용산구,한남동,한남동,서울특별시 용산구 이태원로54길 46,127.001360696705,37.5364311744804
3416,잠바주스용산미군기지점,음식,커피점/카페,서울특별시,용산구,용산2가동,용산동2가,서울특별시 용산구 두텁바위로 54-33,126.979163795808,37.5444949516062
3559,고바우식당,음식,한식,서울특별시,용산구,이촌2동,이촌동,서울특별시 용산구 이촌로 34,126.954306110523,37.5288065035431
3826,커피베이,음식,커피점/카페,서울특별시,용산구,남영동,동자동,서울특별시 용산구 한강대로 393,126.972329504422,37.5535091783694
3837,이태원숯불바베큐치킨,음식,닭/오리요리,서울특별시,용산구,이태원2동,이태원동,서울특별시 용산구 녹사평대로 224-1,126.986939044773,37.5377319876592
4087,골목길포차,음식,유흥주점,서울특별시,용산구,이태원2동,이태원동,서울특별시 용산구 녹사평대로54길 18,126.988221642349,37.5391125744962
4325,앤드,음식,커피점/카페,서울특별시,용산구,한남동,한남동,서울특별시 용산구 이태원로54길 82,127.000630459656,37.5351905615634
4405,한끼이태원점,음식,별식/퓨전요리,서울특별시,용산구,한남동,한남동,서울특별시 용산구 이태원로 229,126.999071949029,37.535817105718
4546,소셜테이블,음식,양식,서울특별시,용산구,이태원2동,이태원동,서울특별시 용산구 회나무로13가길 22,126.990767486871,37.5408012960164
4583,헬카페로스터즈,음식,제과제빵떡케익,서울특별시,용산구,보광동,보광동,서울특별시 용산구 보광로 76,126.997007027492,37.5303212147543
4602,가마골,음식,제과제빵떡케익,서울특별시,용산구,이촌1동,이촌동,서울특별시 용산구 이촌로75길 16-5,126.974657392384,37.5207133377436
4623,동대문엽기떡볶이보광점,음식,분식,서울특별시,용산구,보광동,보광동,서울특별시 용산구 보광로24길 9,126.999487307452,37.528441041587
4777,게임펍,음식,유흥주점,서울특별시,용산구,원효로2동,원효로3가,서울특별시 용산구 원효로 152-1,126.960191613807,37.5343458368121
4792,대구막창껍데기,음식,한식,서울특별시,용산구,청파동,청파동1가,서울특별시 용산구 청파로 320-3,126.970282656896,37.5484545135606
4858,전주집,음식,한식,서울특별시,용산구,원효로1동,신계동,서울특별시 용산구 새창로44길 6-6,126.961719161881,37.5343412564433
5060,글램라운지,음식,유흥주점,서울특별시,용산구,이태원1동,이태원동,서울특별시 용산구 이태원로27가길 26,126.993774920148,37.5350963037072
5213,폭스홀,음식,유흥주점,서울특별시,용산구,이태원1동,이태원동,서울특별시 용산구 이태원로27가길 49,126.992533581409,37.5348514476632
5236,THEJELL,음식,유흥주점,서울특별시,용산구,이태원2동,이태원동,서울특별시 용산구 회나무로 67,126.994100337992,37.5403521794403
5375,교촌치킨,음식,닭/오리요리,서울특별시,용산구,한강로동,한강로2가,서울특별시 용산구 한강대로40길 13,126.970044226671,37.5304135154338
