,영업이익율,EBITDA마진율
0,-10.417,-10.179
1,-9.105,-8.934
2,-4.769,-4.222
3,-8.702,-8.515
4,-13.538,-21.287
5,0.095,0.193
6,0.053,0.076
7,0.073,0.082
8,0.077,0.113
9,0.033,0.036
10,0.039,0.053
11,0.064,0.193
12,0.090,0.093
13,0.068,0.072
14,0.022,0.008
15,0.003,0.021
16,0.023,0.008
17,0.006,0.047
18,0.037,0.114
19,0.045,0.029
20,0.095,0.082
21,0.056,0.058
22,0.063,0.048
23,0.058,0.043
24,0.068,0.042
25,0.064,0.035
26,0.064,0.030
27,0.066,0.072
28,0.080,0.075
29,0.061,0.042
30,0.060,0.013
31,0.054,0.054
32,0.063,0.023
33,0.074,0.092
34,0.080,0.094
35,0.239,0.236
36,-0.024,-0.012
37,0.009,0.099
38,-0.041,-0.064
39,-0.061,-0.004
40,-0.021,-0.049
41,-0.008,-0.087
42,-0.012,-0.011
43,0.066,0.091
44,-0.034,-0.048
45,0.014,0.020
46,0.056,0.041
47,-0.002,0.002
48,0.027,-0.002
49,0.040,0.013
50,0.111,0.108
51,0.117,-0.078
52,0.152,0.109
53,0.133,0.055
54,0.101,0.215
55,0.104,0.190
56,0.129,0.324
57,-0.085,-0.086
58,-0.542,-0.204
59,-0.504,0.625
60,-0.229,-1.091
61,-0.131,-0.241
62,-0.133,-0.168
63,-0.058,-0.190
64,-0.124,-0.118
65,0.114,0.122
66,0.122,0.112
67,0.006,0.029
68,0.058,-0.847
69,-0.793,-0.463
70,0.276,-0.293
71,0.240,1.123
72,-0.028,0.173
73,-0.051,-1.213
74,0.025,0.024
75,0.018,0.014
76,-0.006,0.030
77,-1.344,-0.046
78,-0.031,-0.672
79,0.031,-0.435
80,-0.146,-0.579
81,-0.085,-0.625
82,-0.113,-0.868
83,-0.134,-0.763
84,-0.130,-0.725
85,-0.119,-0.844
86,-0.125,-0.754
87,-0.095,-0.091
88,-0.041,-0.097
89,0.047,0.069
90,0.013,0.011
91,-0.269,-0.260
92,0.012,0.080
93,-0.082,-0.105
94,0.025,0.076
95,0.315,0.322
96,-0.372,-0.297
97,-0.358,-0.231
98,-0.318,-1.400
99,-0.661,-1.440
100,-0.677,-0.259
101,-0.493,-0.839
102,-0.629,0.539
103,-0.538,-0.438
104,-0.701,-0.976
105,-1.007,-1.067
106,-0.951,-2.981
107,-0.489,0.898
108,-0.895,-1.054
109,-0.556,-1.896
110,-0.110,1.250
111,-0.513,-0.223
112,0.178,0.168
113,0.062,0.044
114,-0.003,-0.004
115,0.043,0.024
116,0.182,0.155
117,0.107,0.100
118,0.054,0.049
119,0.101,0.082
120,0.211,0.188
121,0.134,-0.319
122,0.031,0.020
123,0.113,0.058
124,0.206,0.199
125,0.145,0.110
126,0.084,0.086
127,0.126,0.072
128,0.235,0.228
129,0.221,0.201
130,0.261,0.254
131,0.231,0.248
132,0.122,0.127
133,0.071,0.078
134,0.067,0.092
135,0.037,0.062
136,0.056,0.039
137,0.113,0.104
138,0.090,0.089
139,0.068,0.184
140,0.067,0.044
141,-0.004,0.009
142,0.047,0.067
143,0.071,0.054
144,0.064,0.048
145,0.018,-0.032
146,0.022,-0.012
147,0.059,0.066
148,0.128,0.131
149,0.136,0.138
150,0.041,0.030
151,0.089,0.074
152,0.050,-0.003
153,0.021,0.052
154,-0.120,-0.100
155,-0.004,0.003
156,-0.032,-0.042
157,-0.080,-0.061
158,0.132,0.079
159,0.115,0.121
160,0.122,0.136
161,0.149,0.136
162,0.138,0.119
163,0.107,0.108
164,0.127,0.173
165,0.149,0.160
166,0.113,0.118
167,0.075,0.111
168,0.073,0.086
169,0.157,0.162
170,0.105,0.114
171,0.138,0.162
172,0.121,0.153
173,0.123,0.151
174,0.109,0.022
175,0.130,0.101
176,0.154,0.189
177,0.113,0.221
178,0.100,0.075
179,0.110,0.171
180,0.101,0.196
181,0.108,0.129
182,0.039,0.031
183,0.034,0.041
184,0.052,-0.089
185,-0.038,0.007
186,0.016,0.077
187,0.001,-0.076
188,0.342,0.358
189,0.279,0.291
190,0.277,0.413
191,-0.040,-0.026
192,-0.182,-0.056
193,0.045,0.133
194,0.098,0.059
195,-0.022,0.028
196,0.008,-0.021
197,0.015,0.001
198,0.002,-0.025
199,0.021,0.026
200,0.062,0.060
201,0.016,-0.011
202,0.011,0.007
203,0.024,0.042
204,-0.032,-0.061
205,0.003,0.007
206,0.020,-0.017
207,0.024,0.045
208,-0.015,0.036
209,-0.023,-0.100
210,0.006,0.036
211,-0.016,-0.037
212,-0.036,-0.018
213,-0.024,-0.237
214,0.039,0.281
215,0.071,-0.012
216,0.101,0.209
217,0.096,0.459
218,0.159,0.165
219,0.065,0.069
220,0.116,0.180
221,0.097,0.250
222,0.106,0.107
223,0.095,0.094
224,0.101,0.137
225,0.060,0.140
226,0.179,1.028
227,0.028,0.031
228,0.047,0.046
229,0.015,0.009
230,0.021,0.020
231,0.010,0.004
232,0.008,-0.002
233,-0.017,-0.030
234,-0.036,-0.048
235,-0.039,-0.043
236,-0.041,-0.082
237,-0.052,-0.061
238,-0.033,-0.050
239,0.003,0.060
240,-0.018,-0.029
241,-0.002,-0.005
242,-0.010,-0.022
243,-0.172,-0.287
244,0.120,2.955
245,0.041,0.566
246,0.031,0.383
247,-0.062,-0.133
248,0.195,0.288
249,-0.097,-0.075
250,0.037,0.089
251,0.045,0.313
252,0.134,0.175
253,0.109,0.021
254,0.191,0.291
255,0.186,0.078
256,0.169,0.172
257,0.222,-0.264
258,0.156,0.237
259,0.099,0.250
260,-10.877,-9.342
261,1.000,0.945
262,-13.851,-12.776
263,-11.642,-10.641
264,-26.525,-25.178
265,-22.683,-21.823
266,-37.106,-35.131
267,-0.038,-0.034
268,-0.084,-0.048
269,-1.983,-30.504
270,-0.164,-0.317
271,-0.040,-0.342
272,0.047,0.084
273,-0.035,-0.042
274,0.004,-0.003
275,-0.008,-0.019
276,0.005,0.006
277,0.063,0.079
278,0.047,0.045
279,0.088,0.101
280,0.047,0.062
281,0.028,0.042
282,0.036,0.034
283,-0.013,0.003
284,0.009,0.017
285,-0.096,-0.089
286,-0.014,-0.007
287,-0.044,0.330
288,-0.063,0.029
289,0.131,0.132
290,0.083,0.092
291,0.172,0.196
292,0.289,0.318
293,0.279,0.306
294,0.231,0.284
295,0.268,0.307
296,0.171,0.218
297,0.186,0.306
298,0.253,0.273
299,0.167,0.222
300,0.116,0.109
301,-19.194,-16.966
302,-17.044,-13.381
303,-17.998,-14.549
304,-7.360,-6.861
305,-6.334,-4.890
306,-4.955,-3.421
307,-19.986,-17.533
308,0.258,0.252
309,0.188,0.204
310,0.149,0.059
311,0.223,0.246
312,0.184,0.038
313,0.188,0.216
314,0.126,0.134
315,0.147,0.095
316,0.064,0.040
317,0.139,0.238
318,0.036,0.001
319,0.054,0.043
320,0.058,-0.209
321,-0.074,-0.124
322,-0.225,-0.365
323,-0.014,0.136
324,0.153,0.162
325,0.144,0.157
326,0.213,0.223
327,0.172,0.184
328,0.128,0.145
329,0.186,0.201
330,0.169,0.183
331,0.145,0.162
332,0.272,0.293
333,0.109,0.114
334,0.161,0.165
335,0.094,0.068
336,0.106,0.111
337,0.039,-0.011
338,0.053,0.096
339,0.030,0.047
340,0.040,0.033
341,0.017,0.024
342,0.036,0.051
343,0.023,0.028
344,0.023,0.032
345,0.055,0.065
346,0.119,0.125
347,0.086,0.082
348,0.083,0.086
349,0.052,0.069
350,0.085,0.075
351,0.033,0.028
352,0.068,0.058
353,0.095,0.113
354,0.138,0.139
355,0.102,0.138
356,0.237,0.241
357,0.252,0.400
358,0.399,0.383
359,0.467,0.511
360,0.021,0.704
361,-0.004,-0.006
362,0.029,0.016
363,-0.014,-0.018
364,-0.010,-0.013
365,-0.001,-0.009
366,0.016,0.017
367,-0.020,-0.023
368,-0.011,-0.024
369,-0.026,-0.032
370,-0.021,-0.034
371,-0.050,-0.067
372,-0.032,-0.046
373,-0.039,-0.251
374,-0.027,-0.043
375,-0.028,-0.050
376,0.003,-0.008
377,-0.012,-0.028
378,0.032,0.027
379,0.037,0.031
380,0.021,0.014
381,-0.328,-0.325
382,0.157,0.158
383,0.012,0.017
384,0.045,0.048
385,0.030,0.030
386,0.142,0.138
387,-0.113,-0.111
388,0.089,0.083
389,-0.076,-0.075
390,0.108,0.107
391,-0.023,-0.014
392,0.018,0.017
393,-0.109,-0.107
394,-0.127,-0.123
395,-0.044,-0.039
396,0.138,0.141
397,-0.118,-0.117
398,0.151,0.291
399,0.198,0.171
400,0.125,0.099
401,0.171,0.153
402,0.240,0.306
403,-4.013,-4.105
404,-1.140,-1.038
405,-1.720,-1.764
406,0.070,0.054
407,0.096,0.104
408,-0.002,0.015
409,0.048,0.049
410,0.015,0.018
411,0.126,0.130
412,0.031,0.016
413,0.045,0.052
414,0.069,0.064
415,0.072,0.060
416,0.028,0.047
417,0.042,0.037
418,0.069,0.072
419,0.079,0.070
420,0.013,0.003
421,0.053,0.034
422,0.025,0.034
423,0.230,0.196
424,-0.031,-0.082
425,-0.235,-0.185
426,0.094,0.081
427,0.163,0.146
428,-0.006,-0.049
429,-0.209,-0.225
430,0.065,0.046
431,-0.113,-0.135
432,-0.109,-0.139
433,-0.092,-0.118
434,0.017,-0.011
435,0.144,0.121
436,-0.126,-0.168
437,-0.047,-0.092
438,0.062,0.010
439,0.157,0.139
440,-0.086,-0.107
441,-0.093,-0.116
442,0.178,0.174
443,0.169,0.165
444,-0.640,-0.580
445,-1.117,-0.858
446,-1.090,-2.334
447,-2.504,-1.873
448,0.051,2.831
449,-1.961,-1.502
450,-1.604,0.577
451,-0.285,-0.191
452,-1.433,-1.192
453,-2.193,-1.950
454,-1.155,-8.976
455,-3.544,-3.042
456,-7.484,-6.731
457,-3.059,-7.756
458,-3.993,-10.899
459,-3.658,-3.863
460,-2.578,-2.907
461,-3.085,-3.457
462,0,0
463,0,0
464,-5.159,-5.024
465,-4.975,-4.926
466,-3.094,-2.929
467,-0.907,-0.841
468,-0.777,-0.712
469,-1.640,-2.072
470,-3.183,-3.117
471,-0.142,0.091
472,-0.116,-0.102
473,-0.536,-0.256
474,-3.913,-3.880
475,-2.729,-2.991
476,-1.810,-1.864
477,-2.769,-3.101
478,-0.867,-0.899
479,-0.224,-0.282
480,-0.983,-1.112
481,-0.598,-0.704
482,-2.488,-2.472
483,-1.339,-1.447
484,-1.078,-1.363
485,-0.355,-0.705
486,0.030,-0.131
487,-0.514,-0.551
488,-0.355,-0.402
489,-0.100,-0.146
490,-0.182,-0.409
491,0.084,0.249
492,-0.204,-0.556
493,-0.087,-0.069
494,-0.127,-0.158
495,-0.082,0.083
496,0.017,0.018
497,0.035,0.035
498,0.045,0.045
499,0.029,0.052
500,0.013,0.018
501,0.028,0.029
502,0.029,0.032
503,0.019,0.024
504,0.003,0.009
505,0.022,0.027
506,0.028,0.032
507,0.017,0.018
508,0.004,0.013
509,0.029,0.029
510,0.032,0.034
511,0.032,0.031
512,0.031,0.036
513,0.030,0.030
514,0.018,0.027
515,0.023,0.022
516,-0.081,-0.105
517,-0.208,-0.353
518,-0.063,-0.202
519,-0.091,-0.132
520,-0.007,-0.101
521,0.056,0.088
522,-0.062,-0.146
523,-0.019,-0.100
524,-0.056,-0.081
525,0.136,0.095
526,-0.049,-0.264
527,0.030,-0.078
528,0.001,0.000
529,0.017,-0.015
530,0.020,0.014
531,0.029,0.018
532,-0.095,-0.001
533,-0.103,-0.091
534,-0.167,-0.357
535,-0.139,-0.465
536,0.056,-0.570
537,0.067,0.073
538,0.017,0.043
539,-0.049,-0.062
540,-0.046,-0.050
541,0.022,0.013
542,0.047,0.041
543,0.075,0.075
544,0.053,0.047
545,0.037,0.033
546,0.009,-0.078
547,-0.002,-0.025
548,0.051,0.036
549,0.024,0.004
550,0.024,0.019
551,0.022,0.005
552,0.026,0.083
553,-0.009,-0.022
554,0.048,-0.001
555,0.113,0.084
556,0.043,-0.025
557,0.061,-0.091
558,-0.053,-0.268
559,-0.018,0.033
560,-0.038,0.609
561,-0.035,0.078
562,-0.168,-0.147
563,-0.166,-0.142
564,-0.083,-0.063
565,-0.037,-0.028
566,-0.041,-0.027
567,-0.053,-0.043
568,-0.052,-0.081
569,-0.024,0.005
570,-0.158,-0.162
571,-0.063,-0.048
572,-0.067,-0.041
573,-0.094,-0.054
574,0.050,0.061
575,0.009,-0.014
576,0.005,-0.018
577,0.002,0.006
578,0.025,-0.016
579,-0.037,-0.058
580,-0.016,-0.040
581,0.005,-0.041
582,0.005,-0.010
583,0.026,-0.004
584,0.008,-0.041
585,0.031,0.001
586,-0.003,-0.012
587,0.040,0.053
588,0.028,-0.014
589,0.044,0.051
590,0.041,0.046
591,0.035,0.019
592,0.011,0.008
593,0.038,0.066
594,-0.001,-0.003
595,0.018,0.024
596,-0.009,0.004
597,0.033,1.691
598,0.170,0.188
599,0.154,0.178
600,0.147,0.180
601,0.184,0.198
602,0.228,0.222
603,0.165,0.168
604,0.080,0.112
605,0.100,0.100
606,0.226,0.234
607,0.063,0.057
608,0.143,0.113
609,0.113,0.143
610,0.101,0.098
611,0.120,0.064
612,0.168,0.179
613,0.116,0.127
614,0.160,0.174
615,0.129,0.187
616,0.147,0.133
617,0.142,0.149
618,0.186,0.181
619,0.103,0.248
620,0.125,0.066
621,0.099,0.737
622,0.168,0.073
623,0.130,1.352
624,0.103,-0.384
625,0.124,-0.442
626,0.199,0.470
627,0.186,0.247
628,0.105,-0.088
629,0.065,0.087
630,0.123,0.182
631,0.084,-0.036
632,0.094,0.122
633,0.079,0.013
634,0.044,0.070
635,0.082,0.089
636,0.050,0.039
637,0.024,0.052
638,0.031,0.049
639,0.034,0.062
640,-0.023,0.000
641,-0.047,-0.053
642,-0.118,-0.124
643,0.023,0.029
644,-0.045,-0.035
645,-0.006,0.030
646,0.043,0.004
647,0.003,-0.001
648,0.007,0.006
649,0.049,0.050
650,-0.020,-0.031
651,0.029,0.013
652,0.005,-0.010
653,0.013,0.010
654,-0.002,-0.008
655,0.021,-0.016
656,0.017,0.002
657,0.031,-0.050
658,0.025,0.018
659,0.055,0.036
660,0.018,-0.004
661,0.084,0.075
662,0.000,-0.054
663,0.067,-0.047
664,0.043,0.076
665,0.143,0.078
666,0,0
667,0,0
668,0,0
669,0,0
670,0,
671,0,0
672,0,0
673,0,0
674,-2.583,-2.671
675,0,0
676,-0.317,-0.325
677,-0.209,-0.237
678,-0.246,-0.363
679,-0.126,-0.167
680,0.207,0.186
681,-0.053,-0.087
682,-0.455,-0.559
683,-0.058,-0.117
684,-0.186,-0.266
685,-0.151,-0.174
686,-0.275,-0.369
687,-0.185,-0.352
688,0.053,0.009
689,0.085,0.000
690,-0.085,-0.121
691,0.040,-0.103
692,0.200,0.196
693,0.487,0.489
694,0.526,0.511
695,0.482,0.462
696,0.158,0.127
697,0.086,0.087
698,0.097,0.108
699,0.000,-0.018
700,0.070,0.065
701,0.090,0.088
702,0.094,0.097
703,-0.046,-0.054
704,0.059,0.055
705,0.090,0.088
706,0.081,0.083
707,-0.009,-0.004
708,0.055,0.054
709,0.068,0.068
710,0.051,0.054
711,-0.007,-0.009
712,0.041,0.040
713,0.066,0.065
714,0.049,0.049
715,-0.066,-0.073
716,0.043,0.040
717,0.081,0.089
718,0.034,0.002
719,0.040,0.028
720,0.035,-0.025
721,0.039,0.014
722,0.032,-0.038
723,0.027,0.027
724,0.032,0.022
725,0.012,-0.024
726,0.009,0.067
727,-0.016,0.001
728,-0.013,0.025
729,0.000,0.030
730,0.002,-0.002
731,0.010,-0.005
732,0.010,0.030
733,-0.025,-0.065
734,-0.053,0.259
735,-0.033,0.163
736,-0.023,0.325
737,0.064,0.158
738,-0.136,-0.056
739,-0.046,0.092
740,-0.189,0.277
741,-0.012,0.100
742,-0.253,-0.203
743,-0.127,0.041
744,-0.174,0.107
745,-0.058,0.025
746,-0.012,0.106
747,-0.078,0.032
748,-0.128,0.365
749,-0.217,-0.219
750,-0.149,-0.014
751,-0.147,-0.007
752,-0.027,0.140
753,-0.080,0.157
754,-0.131,0.064
755,-0.034,-0.037
756,0.049,0.047
757,0.022,0.020
758,0.035,0.029
759,-0.026,-0.031
760,-0.026,-0.026
761,0.054,0.058
762,0.021,0.008
763,0.031,0.007
764,0.022,0.049
765,0.027,0.029
766,0.020,0.017
767,0.015,-0.009
768,0.017,0.035
769,-0.041,-0.099
770,-0.014,-0.144
771,-0.073,-0.233
772,-0.042,-0.012
773,-0.026,0.000
774,0.006,0.012
775,0.039,0.049
776,-0.109,-0.100
777,-0.022,0.127
778,-0.033,-0.027
779,-0.079,-0.053
780,0.053,0.053
781,0.111,0.115
782,0.098,0.104
